序号	汉字	拼音
1232	拐	guai
1233	拒	ju
1234	拓	tuo
1235	拔	ba
1236	拖	tuo
1237	拗	ao
1238	拘	ju
1239	拙	zhuo
1240	招	zhao
1241	拜	bai
1242	拟	ni
1243	拢	long
1244	拣	jian
1245	拥	yong
1246	拦	lan
1247	拧	ning
1248	拨	bo
1249	择	ze
1250	括	kuo
1251	拭	shi
1252	拯	zheng
1253	拱	gong
1254	拳	quan
1255	拴	shuan
1256	拷	kao
1257	拼	pin
1258	拾	shi
1259	拿	na
1260	持	chi
1261	挂	gua
1262	指	zhi
1263	按	an
1264	挎	kua
1265	挑	tiao
1266	挖	wa
1267	挚	zhi
1268	挟	xie
1269	挠	nao
1270	挡	dang
1271	挣	zheng
1272	挤	ji
1273	挥	hui
1274	挨	ai
1275	挪	nuo
1276	挫	cuo
1277	振	zhen
1278	挺	ting
1279	挽	wan
1280	捂	wu
1281	捅	tong
1282	捆	kun
1283	捉	zhuo
1284	捌	ba
1285	捍	han
1286	捎	shao
1287	捏	nie
1288	捐	juan
1289	捕	bu
1290	捞	lao
1291	损	sun
1292	捡	jian
1293	换	huan
1294	捣	dao
1295	捧	peng
1296	据	ju
1297	捶	chui
1298	捷	jie
1299	捺	na
1300	捻	nian
1301	掀	xian
1302	掂	dian
1303	授	shou
1304	掉	diao
1305	掌	zhang
1306	掏	tao
1307	掐	qia
1308	排	pai
1309	掖	ye
1310	掘	jue
1311	掠	lve
1312	探	tan
1313	接	jie
1314	控	kong
1315	推	tui
1316	掩	yan
1317	措	cuo
1318	掰	bai
1319	掷	zhi
1320	掸	dan
1321	掺	can
1322	揉	rou
1323	揍	zou
1324	描	miao
1325	提	ti
1326	插	cha
1327	揖	yi
1328	握	wo
1329	揣	chuai
1330	揩	kai
1331	揪	jiu
1332	揭	jie
1333	援	yuan
1334	揽	lan
1335	搀	chan
1336	搁	ge
1337	搂	lou
1338	搅	jiao
1339	搏	bo
1340	搓	cuo
1341	搔	sao
1342	搜	sou
1343	搞	gao
1344	搪	tang
1345	搬	ban
1346	搭	da
1347	携	xie
1348	摄	she
1349	摆	bai
1350	摇	yao
1351	摊	tan
1352	摔	shuai
1353	摘	zhai
1354	摧	cui
1355	摩	mo
1356	摸	mo
1357	摹	mo
1358	撇	pie
1359	撑	cheng
1360	撒	sa
1361	撕	si
1362	撞	zhuang
1363	撤	che
1364	撩	liao
1365	撬	qiao
1366	播	bo
1367	撮	cuo
1368	撰	zhuan
1369	撵	nian
1370	撼	han
1371	擂	lei
1372	擅	shan
1373	操	cao
1374	擎	qing
1375	擒	qin
1376	擦	ca
1377	攀	pan
1378	攒	zan
1379	攘	rang
1380	支	zhi
1381	收	shou
1382	改	gai
1383	攻	gong
